sumlev,region,division,state,name,year,popestimate,npopchg,births,deaths,naturalinc,internationalmig,domesticmig,netmig,residual,rbirth,rdeath,rnaturalinc,rinternationalmig,rdomesticmig,rnetmig
10,0,0,0,United States,2010,309321666,563561,987836,598691,389145,174416,0,174416,0,12.285801998666667,8.366807746055555,3.9189942524111103,2.6767437573111112,0.0,2.6767437573111112
10,0,0,0,United States,2011,311556874,2235208,3973485,2512442,1461043,774165,0,774165,0,12.799556577,8.0931835718,4.7063730049,2.4937727756,0.0,2.4937727756
10,0,0,0,United States,2012,313830990,2274116,3936976,2501531,1435445,838671,0,838671,0,12.590509751,7.9999345814,4.5905751698,2.6820827467,0.0,2.6820827467
10,0,0,0,United States,2013,315993715,2162725,3940576,2608019,1332557,830168,0,830168,0,12.513246841,8.2817297553,4.2315170854,2.636187477,0.0,2.636187477
10,0,0,0,United States,2014,318301008,2307293,3963195,2582448,1380747,926546,0,926546,0,12.496383326,8.1427384033,4.3536449223,2.9214999476,0.0,2.9214999476
10,0,0,0,United States,2015,320635163,2334155,3992376,2699826,1292550,1041605,0,1041605,0,12.496947837,8.4510037858,4.045944051,3.2604352274,0.0,3.2604352274
10,0,0,0,United States,2016,322941311,2306148,3962654,2703215,1259439,1046709,0,1046709,0,12.314477487,8.400602288,3.9138751986,3.2527882615,0.0,3.2527882615
10,0,0,0,United States,2017,324985539,2044228,3901982,2788163,1113819,930409,0,930409,0,12.044513976,8.6064128999,3.4381010758,2.8719569192,0.0,2.8719569192
10,0,0,0,United States,2018,326687501,1701962,3824521,2824382,1000139,701823,0,701823,0,11.737545564,8.6680952767,3.0694502875,2.1539114155,0.0,2.1539114155
10,0,0,0,United States,2019,328239523,1552022,3791712,2835038,956674,595348,0,595348,0,11.579036629,8.6575691523,2.9214674764,1.8180590453,0.0,1.8180590453
20,1,0,0,Northeast Region,2010,55380134,61691,163466,110878,52588,45032,-32807,12225,-3122,11.223492217555554,8.661381258577778,2.5621109589666666,3.5897580155222224,-4.921978489444444,-1.3322204741222223
20,1,0,0,Northeast Region,2011,55604223,224089,646249,470811,175438,204242,-154970,49272,-621,11.64576734,8.4842767526,3.1614905874,3.680554729,-2.792645814,0.8879089149
20,1,0,0,Northeast Region,2012,55775216,170993,637860,460915,176945,205018,-207154,-2136,-3816,11.453819587,8.2764826998,3.1773368871,3.6814335184,-3.719788892,-0.038355374
20,1,0,0,Northeast Region,2013,55901806,126590,635751,479963,155788,191468,-217700,-26232,-2966,11.385529245,8.5955551358,2.7899741094,3.4289596297,-3.89874293,-0.469783301
20,1,0,0,Northeast Region,2014,56006011,104205,632433,470268,162165,219965,-275141,-55176,-2784,11.302749298,8.4045603356,2.8981889621,3.9311820371,-4.917279371,-0.986097334
20,1,0,0,Northeast Region,2015,56034684,28673,634504,489209,145295,224592,-340104,-115512,-1110,11.326313176,8.7327019883,2.5936111874,4.0091147239,-6.071079798,-2.061965074
20,1,0,0,Northeast Region,2016,56042330,7646,628030,480502,147528,234098,-373661,-139563,-319,11.207115136,8.5744968188,2.6326183173,4.1774489103,-6.66793282,-2.49048391
20,1,0,0,Northeast Region,2017,56059240,16910,618490,497919,120571,213507,-316475,-102968,-693,11.034457412,8.8833546221,2.1511027901,3.8091705584,-5.646218871,-1.837048313
20,1,0,0,Northeast Region,2018,56046620,-12620,610713,503076,107637,179097,-298739,-119642,-615,10.89529129,8.9750170062,1.9202742836,3.1951407357,-5.329587588,-2.134446852
20,1,0,0,Northeast Region,2019,55982803,-63817,602740,505588,97152,134145,-294331,-160186,-783,10.760387474,9.025985968,1.7344015063,2.3948172972,-5.254530321,-2.859713024
20,2,0,0,Midwest Region,2010,66974416,44691,212570,140862,71708,24720,-50673,-25953,-1064,12.164434578111111,9.036410735177778,3.1280238428666665,1.7686596676222222,-2.6496911568888892,-0.8810314893333333
20,2,0,0,Midwest Region,2011,67157800,183384,834866,586660,248206,114945,-179592,-64647,-175,12.448403894,8.7474883737,3.7009155205,1.713905927,-2.677835428,-0.963929501
20,2,0,0,Midwest Region,2012,67336743,178943,830701,584671,246030,118864,-184359,-65495,-1592,12.352932416,8.6943453163,3.6585870997,1.7675661384,-2.741508999,-0.973942861
20,2,0,0,Midwest Region,2013,67560379,223636,830890,605165,225725,124489,-124956,-467,-1622,12.31886919,8.9722447896,3.3466244002,1.8456880051,-1.8526118,-0.006923795
20,2,0,0,Midwest Region,2014,67745167,184788,836538,596898,239640,132052,-183669,-51617,-3235,12.365169422,8.8229642856,3.5422051362,1.9519081649,-2.71487763,-0.762969465
20,2,0,0,Midwest Region,2015,67860583,115416,838012,626084,211928,140410,-234550,-94140,-2372,12.359534902,9.2338857312,3.1256491705,2.0708561399,-3.45929284,-1.3884367
20,2,0,0,Midwest Region,2016,67987540,126957,831641,619187,212454,143098,-227445,-84347,-1150,12.243687754,9.1158712587,3.1278164955,2.1067350338,-3.348518846,-1.241783812
20,2,0,0,Midwest Region,2017,68126781,139241,818785,640407,178378,124250,-162183,-37933,-1204,12.030842809,9.4098401299,2.6210026791,1.8256712312,-2.383040944,-0.557369713
20,2,0,0,Midwest Region,2018,68236628,109847,801587,627911,173676,94152,-157067,-62915,-914,11.756628936,9.2093766884,2.5472522471,1.3808983024,-2.303653174,-0.922754872
20,2,0,0,Midwest Region,2019,68329004,92376,792343,622854,169489,85675,-161549,-75874,-1239,11.60384188,9.1216800432,2.482161837,1.2547080659,-2.365880751,-1.111172685
20,3,0,0,South Region,2010,114866680,303650,368759,228435,140324,67464,91267,158731,4595,12.593434163444444,8.657963399111111,3.9354707645,2.8540713609222217,3.0891935213444444,5.943264882255557
20,3,0,0,South Region,2011,116006522,1139842,1509634,963051,546583,279639,312610,592249,1010,13.077602657,8.3426832708,4.7349193866,2.4224465861,2.7080665689,5.130513155
