state,year,month,n_incidents,average_temperature,average_precipitation
Alabama,2014,1,2.5816850307086274,2.944444444444443,0.6858000000000001
Alabama,2014,2,1.9620806233385566,8.499999999999998,1.4605000000000001
Alabama,2014,3,2.1273084653039085,11.277777777777777,1.4147800000000001
Alabama,2014,4,2.3131897875149297,16.88888888888889,2.45618
Alabama,2014,5,2.1273084653039085,21.22222222222222,1.0845799999999999
Alabama,2014,6,2.3958037084976063,25.500000000000004,1.3284200000000002
Alabama,2014,7,2.7469128726739793,25.444444444444443,0.85344
Alabama,2014,8,2.3958037084976063,26.38888888888889,0.8255
Alabama,2014,9,1.6729318998991902,24.61111111111111,0.63754
Alabama,2014,10,1.8381597418645426,18.444444444444443,1.11252
Alabama,2014,11,1.6729318998991902,9.000000000000002,0.75692
Alabama,2014,12,1.8381597418645426,10.0,1.6154400000000002
Alabama,2015,1,1.5868609561517346,6.4444444444444455,1.10236
Alabama,2015,2,1.2571236146137117,5.166666666666665,1.0287
Alabama,2015,3,1.8135553784591252,14.333333333333334,1.08712
Alabama,2015,4,1.5456437884594814,18.88888888888889,1.8135599999999998
Alabama,2015,5,1.8341639623052515,22.11111111111111,1.09728
Alabama,2015,6,1.463209453074976,26.0,0.83058
Alabama,2015,7,1.7929467946129987,27.555555555555554,1.19634
Alabama,2015,8,1.9165982976897573,26.11111111111111,1.25476
Alabama,2015,9,1.4013837015365966,23.555555555555557,0.68834
Alabama,2015,10,1.9784240492281364,18.333333333333332,0.7442200000000001
Alabama,2015,11,1.5250352046133553,15.11111111111111,1.7272
Alabama,2015,12,1.4838180369211023,13.833333333333334,3.01498
Alabama,2016,1,2.364540122647668,6.111111111111111,1.03124
Alabama,2016,2,1.52153016587763,9.888888888888888,1.4859
Alabama,2016,3,2.076683064238387,15.38888888888889,1.37668
Alabama,2016,4,2.220611593443027,17.555555555555557,1.44272
Alabama,2016,5,2.0149994088649694,21.22222222222222,0.54356
Alabama,2016,6,1.8505096612025227,26.22222222222222,0.96774
Alabama,2016,7,2.0561218457805808,27.77777777777778,1.0845799999999999
Alabama,2016,8,1.7271423504556882,27.555555555555554,1.1633200000000001
Alabama,2016,9,2.385101341105474,25.888888888888886,0.43688
Alabama,2016,10,2.2000503749852216,20.27777777777778,0.03302
Alabama,2016,11,2.2000503749852216,14.333333333333334,0.5841999999999999
Alabama,2016,12,2.0149994088649694,10.055555555555555,1.2827
Alabama,2017,1,1.9078934681523343,11.333333333333334,2.32918
Alabama,2017,2,1.8053185505097358,13.11111111111111,0.9398000000000001
Alabama,2017,3,2.2566481881371696,14.666666666666666,1.05918
Alabama,2017,4,2.625917891650525,19.555555555555557,1.03886
Alabama,2017,5,2.441283039893847,21.055555555555557,1.78054
Alabama,2017,6,2.461798023422367,24.333333333333332,2.7178
Alabama,2017,7,2.318193138722729,26.999999999999996,1.28524
Alabama,2017,8,2.687462842236084,26.0,1.5417800000000002
Alabama,2017,9,2.3387081222512487,23.000000000000004,0.8255
Alabama,2017,10,2.318193138722729,18.77777777777778,1.53162
Alabama,2017,11,2.441283039893847,13.11111111111111,0.2667
Alabama,2017,12,2.010468385794933,8.277777777777779,0.98806
Alaska,2014,1,1.2223560777581446,-7.555555555555555,1.10236
Alaska,2014,2,1.2223560777581446,-14.055555555555555,0.26416
Alaska,2014,3,2.308894813543162,-9.944444444444445,0.38862
Alaska,2014,4,1.493990761704399,-2.5555555555555562,0.36068
Alaska,2014,5,1.0865387357850174,5.499999999999999,0.45466
Alaska,2014,6,1.0865387357850174,8.944444444444445,0.96774
Alaska,2014,7,1.0865387357850174,11.500000000000002,1.16586
Alaska,2014,8,2.0372601295969077,11.11111111111111,1.2319
Alaska,2014,9,2.0372601295969077,5.7222222222222205,1.22428
Alaska,2014,10,1.7656254456506533,-3.444444444444444,0.8128000000000001
Alaska,2014,11,1.9014427876237805,-6.888888888888888,0.64008
Alaska,2014,12,1.629808103677526,-9.444444444444445,0.72136
Alaska,2015,1,3.254246113209798,-13.833333333333334,0.80518
Alaska,2015,2,3.3898397012602066,-10.777777777777779,0.46736000000000005
Alaska,2015,3,5.152556345915515,-8.944444444444445,0.57404
Alaska,2015,4,4.74577558176429,-2.1111111111111116,0.69342
Alaska,2015,5,5.559337110066739,7.11111111111111,0.46228
Alaska,2015,6,3.7966204654114315,11.277777777777777,0.5257799999999999
Alaska,2015,7,3.661026877361023,12.333333333333336,0.99568
Alaska,2015,8,5.830524286167556,9.611111111111109,1.23952
Alaska,2015,9,4.610181993713882,3.8333333333333326,1.57734
Alaska,2015,10,4.203401229562656,-0.22222222222222143,1.05664
Alaska,2015,11,2.033903820756124,-8.222222222222221,1.36906
Alaska,2015,12,2.8474653490585737,-13.166666666666666,0.4191
Alaska,2016,1,4.3158326320105305,-8.222222222222221,0.68834
Alaska,2016,2,4.585572171511189,-8.166666666666666,0.62992
Alaska,2016,3,4.3158326320105305,-7.388888888888889,0.5715
Alaska,2016,4,4.046093092509873,0.7222222222222207,0.5841999999999999
Alaska,2016,5,7.822446645519086,6.666666666666667,0.6807200000000001
Alaska,2016,6,4.855311711011847,10.999999999999998,0.6807200000000001
Alaska,2016,7,5.529660559763492,13.11111111111111,1.06172
Alaska,2016,8,4.3158326320105305,11.777777777777779,1.3208
Alaska,2016,9,5.259921020262834,5.7222222222222205,1.49606
Alaska,2016,10,3.641483783258885,-1.2777777777777781,0.4318
Alaska,2016,11,3.5066140135085564,-10.38888888888889,0.7366
Alaska,2016,12,4.180962862260202,-14.333333333333334,0.5334
Alaska,2017,1,3.51493848857645,-15.277777777777779,0.7366
Alaska,2017,2,4.190888197918075,-14.11111111111111,0.59436
Alaska,2017,3,2.7037988373664996,-15.055555555555555,0.30226
Alaska,2017,4,4.596458023523049,-1.3333333333333326,0.2286
Alaska,2017,5,3.51493848857645,4.8888888888888875,0.70104
Alaska,2017,6,4.461268081654725,10.777777777777779,0.53086
Alaska,2017,7,3.7853183723131,13.444444444444446,0.86868
Alaska,2017,8,2.43341895362985,10.111111111111112,1.52908
Alaska,2017,9,1.89265918615655,5.888888888888889,1.35128
Alaska,2017,10,2.43341895362985,-1.0000000000000004,1.3284200000000002
Alaska,2017,11,2.97417872110315,-9.0,0.59436
Alaska,2017,12,4.05569825604975,-7.166666666666667,0.9017
Arizona,2014,1,0.6537488858410324,8.055555555555555,0.00762
Arizona,2014,2,0.6240330273937127,10.0,0.04064
Arizona,2014,3,0.6686068150646921,12.166666666666666,0.2286
Arizona,2014,4,0.4903116643807742,15.055555555555555,0.06096
Arizona,2014,5,0.6388909566173725,19.333333333333332,0.01778
Arizona,2014,6,0.520027522828094,25.38888888888889,0.00254
Arizona,2014,7,0.9211916118669091,27.444444444444446,0.47244
Arizona,2014,8,0.683464744288352,24.72222222222222,0.79502
Arizona,2014,9,0.8617598949722698,23.444444444444443,0.63246
Arizona,2014,10,0.5348854520517538,18.277777777777782,0.1524
Arizona,2014,11,0.4754537351571145,10.944444444444446,0.02794
Arizona,2014,12,0.6983226735120118,6.833333333333332,0.37338
Arizona,2015,1,0.5563953546259003,7.277777777777778,0.45466
Arizona,2015,2,0.49782742256001605,11.11111111111111,0.16256
Arizona,2015,3,0.6881732017741398,13.499999999999998,0.28448
Arizona,2015,4,0.483185439543545,14.666666666666666,0.10668
Arizona,2015,5,0.5563953546259003,17.166666666666668,0.254
