state,year,n_incidents,average_temperature,average_precipitation,poverty_rate,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
Alabama,2015,19.598763237666226,18.12037037037037,1.2987866666666668,0.1883203836449967,10.0,1,0,3,0,0,0,4,0,0,0,0,0,0,2
Alabama,2016,24.632339712451362,18.52314814814815,0.9527116666666666,0.1840163267657954,10.0,1,0,3,0,0,0,4,0,0,0,0,0,0,2
Alabama,2017,27.61316782938755,18.35185185185185,1.3586883333333333,0.1796739602073622,10.0,1,0,3,0,0,0,4,0,0,0,0,0,0,2
Alaska,2015,49.08487887424779,-1.0925925925925928,0.8487833333333333,0.1018642368664289,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Alaska,2016,56.37556375563755,-0.06481481481481517,0.7846483333333333,0.1012788847724263,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Alaska,2017,40.5569825604975,-1.4861111111111107,0.8056033333333333,0.1019190730892257,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Arizona,2015,6.50104045931315,16.52777777777778,0.30458833333333335,0.181954862421572,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arizona,2016,7.289940228252926,16.76388888888889,0.25992666666666664,0.1773228754200753,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arizona,2017,7.481536080027166,17.24074074074074,0.20044833333333334,0.1695265592801787,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arkansas,2015,17.125311613513283,16.333333333333332,1.4247283333333334,0.1927396268821168,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
Arkansas,2016,22.20796690745365,17.10648148148148,1.0676466666666666,0.1882523242141678,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
Arkansas,2017,25.52189101885988,16.96759259259259,1.0638366666666668,0.1813819268916765,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
California,2015,7.6853809074941974,15.976851851851853,0.3183466666666667,0.1628277063972556,102.0,14,11,7,11,4,5,6,7,9,6,1,2,1,18
California,2016,8.56585895765573,15.629629629629628,0.5446183333333333,0.1583687440957152,104.0,14,11,7,11,4,7,6,7,9,6,1,2,1,18
California,2017,10.93029543277529,15.745370370370372,0.596265,0.1509666122479162,106.0,14,12,7,11,4,7,6,8,9,6,1,2,1,18
Colorado,2015,13.686508863298746,8.578703703703704,0.4599516666666667,0.1266958972218961,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Colorado,2016,13.75646188133156,8.49074074074074,0.3615266666666666,0.1217193402017951,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Colorado,2017,13.703060558083424,8.847222222222223,0.4002616666666667,0.1151322112445856,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Connecticut,2015,19.93241378464407,9.912037037037036,0.78486,0.1051734517496755,83.0,12,8,9,10,5,5,4,7,5,2,1,3,1,11
Connecticut,2016,21.43571200799521,10.986111111111112,0.7774516666666668,0.103591372979982,88.0,12,8,9,10,5,5,4,7,5,2,1,3,1,16
Connecticut,2017,21.24088761723417,10.513888888888888,0.93345,0.100625266599599,88.0,12,8,9,10,5,5,4,7,5,2,1,3,1,16
Delaware,2015,37.50324036496072,13.564814814814815,0.9793816666666667,0.1202404475921937,37.0,5,2,5,8,1,1,4,0,4,2,1,0,0,4
Delaware,2016,33.51174649944516,14.092592592592593,0.9666816666666667,0.1204084169716812,38.0,5,2,5,9,1,1,4,0,4,2,1,0,0,4
Delaware,2017,38.878664078936225,14.236111111111112,0.9425516666666667,0.1212329811567367,39.0,5,2,5,9,1,1,4,0,4,2,1,0,0,5
Florida,2015,12.311320843412567,22.97685185185185,1.11887,0.1653876949947701,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
Florida,2016,19.011833859954823,22.48148148148148,1.1305116666666668,0.1608693384052973,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
