state,year,n_incidents,lawtotal,laws_1,laws_2,laws_3,laws_4,laws_5,laws_6,laws_7,laws_8,laws_9,laws_10,laws_11,laws_12,laws_13,laws_14
Alabama,2014,25.67227594536659,10.0,5,0,1,0,0,0,4,0,0,0,0,0,0,0
Alabama,2015,19.598763237666226,10.0,1,0,3,0,0,0,4,0,0,0,0,0,0,2
Alabama,2016,24.632339712451362,10.0,1,0,3,0,0,0,4,0,0,0,0,0,0,2
Alabama,2017,27.61316782938755,10.0,1,0,3,0,0,0,4,0,0,0,0,0,0,2
Alaska,2014,18.878610534264677,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Alaska,2015,49.08487887424779,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Alaska,2016,56.37556375563755,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Alaska,2017,40.5569825604975,3.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Arizona,2014,7.770696983974088,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arizona,2015,6.50104045931315,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arizona,2016,7.289940228252926,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arizona,2017,7.481536080027166,8.0,0,0,4,0,0,1,0,0,0,0,0,0,0,3
Arkansas,2014,17.456406164065957,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
Arkansas,2015,17.125311613513283,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
Arkansas,2016,22.20796690745365,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
Arkansas,2017,25.52189101885988,11.0,0,0,3,0,0,2,5,0,0,0,1,0,0,0
California,2014,9.042160094838527,100.0,14,10,7,11,4,4,6,7,9,6,1,2,1,18
California,2015,7.6853809074941974,102.0,14,11,7,11,4,5,6,7,9,6,1,2,1,18
California,2016,8.56585895765573,104.0,14,11,7,11,4,7,6,7,9,6,1,2,1,18
California,2017,10.93029543277529,106.0,14,12,7,11,4,7,6,8,9,6,1,2,1,18
Colorado,2014,9.738133915602715,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Colorado,2015,13.686508863298746,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Colorado,2016,13.75646188133156,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Colorado,2017,13.703060558083424,30.0,2,0,1,9,0,2,5,1,0,2,1,0,0,7
Connecticut,2014,15.634893521367504,83.0,12,8,9,10,5,5,4,7,5,2,1,3,1,11
Connecticut,2015,19.93241378464407,83.0,12,8,9,10,5,5,4,7,5,2,1,3,1,11
Connecticut,2016,21.43571200799521,88.0,12,8,9,10,5,5,4,7,5,2,1,3,1,16
Connecticut,2017,21.24088761723417,88.0,12,8,9,10,5,5,4,7,5,2,1,3,1,16
Delaware,2014,51.582488549438224,37.0,5,2,5,8,1,1,4,0,4,2,1,0,0,4
Delaware,2015,37.50324036496072,37.0,5,2,5,8,1,1,4,0,4,2,1,0,0,4
Delaware,2016,33.51174649944516,38.0,5,2,5,9,1,1,4,0,4,2,1,0,0,4
Delaware,2017,38.878664078936225,39.0,5,2,5,9,1,1,4,0,4,2,1,0,0,5
Florida,2014,14.698241869572024,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
Florida,2015,12.311320843412567,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
Florida,2016,19.011833859954823,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
Florida,2017,18.498719662493293,21.0,1,1,1,0,1,8,3,0,3,2,0,0,0,1
Georgia,2014,18.98229094299373,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Georgia,2015,25.662068093492064,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Georgia,2016,15.472888955327615,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Georgia,2017,17.88608046046571,6.0,0,0,1,0,0,1,4,0,0,0,0,0,0,0
Hawaii,2014,3.181250698107792,78.0,8,15,10,6,1,5,6,0,5,0,1,3,1,17
Hawaii,2015,4.922464157428842,78.0,8,15,10,6,1,5,6,0,5,0,1,3,1,17
Hawaii,2016,4.833425448615434,79.0,8,15,10,6,1,5,6,0,5,0,1,3,1,18
Hawaii,2017,4.493141991009503,79.0,8,15,10,6,1,5,6,0,5,0,1,3,1,18
Idaho,2014,6.682557666181109,5.0,0,0,0,0,0,1,3,0,0,0,1,0,0,0
Idaho,2015,10.17528749729719,6.0,0,0,0,0,0,1,4,0,0,0,1,0,0,0
Idaho,2016,8.262104875236272,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Idaho,2017,8.499663797544995,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Illinois,2014,22.77155957941069,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Illinois,2015,25.562036231211767,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Illinois,2016,37.61935839298962,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Illinois,2017,37.90644963685246,65.0,5,6,7,9,3,6,5,0,3,2,1,1,1,16
Indiana,2014,16.92539057310343,11.0,1,0,0,0,0,3,4,0,0,1,0,0,0,2
Indiana,2015,18.794199280857065,11.0,1,0,0,0,0,3,4,0,0,1,0,0,0,2
Indiana,2016,21.35868359363695,12.0,1,0,0,0,0,3,4,0,0,1,0,0,0,3
Indiana,2017,20.771760258741338,12.0,1,0,0,0,0,3,4,0,0,1,0,0,0,3
Iowa,2014,17.624262305626576,25.0,0,4,1,3,2,2,5,0,2,0,1,0,1,4
Iowa,2015,18.071362657643803,25.0,0,4,1,3,2,2,5,0,2,0,1,0,1,4
Iowa,2016,20.43833196385864,25.0,0,4,1,3,2,2,5,0,2,0,1,0,1,4
Iowa,2017,18.048415591029908,24.0,0,4,1,3,2,2,5,0,2,0,0,0,1,4
Kansas,2014,12.342805919720048,8.0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
Kansas,2015,14.987911699199488,4.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Kansas,2016,18.723091996685497,4.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Kansas,2017,18.53050037851727,4.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Kentucky,2014,20.88643195180082,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Kentucky,2015,19.22739752768655,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Kentucky,2016,21.517819683825493,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Kentucky,2017,21.449742019123736,7.0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Louisiana,2014,39.10411103500356,12.0,0,1,0,0,0,3,5,0,0,0,0,0,0,3
Louisiana,2015,33.85050211935443,12.0,0,1,0,0,0,3,5,0,0,0,0,0,0,3
Louisiana,2016,41.87566198923289,12.0,0,1,0,0,0,3,5,0,0,0,0,0,0,3
Louisiana,2017,39.86673974855264,13.0,0,1,0,0,0,3,5,0,0,0,0,0,0,4
Maine,2014,12.927344565592369,11.0,2,0,4,0,0,1,2,0,0,0,1,0,0,1
Maine,2015,16.56299736046051,11.0,2,0,4,0,0,1,0,0,0,0,1,0,0,3
Maine,2016,16.750330687582295,11.0,2,0,4,0,0,1,0,0,0,0,1,0,0,3
Maine,2017,14.386203630718141,11.0,2,0,4,0,0,1,0,0,0,0,1,0,0,3
Maryland,2014,20.445562179940083,63.0,7,9,7,6,3,3,5,5,7,3,1,0,1,6
Maryland,2015,20.43250074094964,64.0,7,9,7,6,3,3,5,5,7,2,1,0,1,8
Maryland,2016,20.50531014239947,64.0,7,9,7,6,3,3,5,5,7,2,1,0,1,8
Maryland,2017,24.967346562042863,64.0,7,9,7,6,3,3,5,5,7,2,1,0,1,8
Massachusetts,2014,13.944349181882224,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Massachusetts,2015,19.13388835346709,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Massachusetts,2016,22.09974547189698,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Massachusetts,2017,25.029924389802662,101.0,14,10,8,7,6,9,5,4,11,5,1,3,1,17
Michigan,2014,13.534950383933369,20.0,6,3,1,3,0,2,4,0,1,0,0,0,0,0
Michigan,2015,11.65961769946077,21.0,6,3,1,3,0,2,5,0,1,0,0,0,0,0
Michigan,2016,12.129957165272224,21.0,6,3,1,3,0,2,5,0,1,0,0,0,0,0
Michigan,2017,12.654021602480428,21.0,6,3,1,3,0,2,5,0,1,0,0,0,0,0
Minnesota,2014,7.613171630790895,39.0,2,1,6,0,0,3,5,0,6,0,1,0,1,14
Minnesota,2015,6.877012027656899,41.0,2,1,6,0,0,3,5,0,6,2,1,0,1,14
Minnesota,2016,7.930840176549919,41.0,2,1,6,0,0,3,5,0,6,2,1,0,1,14
Minnesota,2017,13.024973815311261,41.0,2,1,6,0,0,3,5,0,6,2,1,0,1,14
Mississippi,2014,24.47777404740663,5.0,0,0,1,0,0,1,3,0,0,0,0,0,0,0
Mississippi,2015,20.779856990414164,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mississippi,2016,26.54004199551664,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mississippi,2017,32.08956971868925,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Missouri,2014,19.748350533882455,8.0,0,0,2,0,0,0,5,0,0,0,1,0,0,0
Missouri,2015,26.022228912606813,8.0,0,0,2,0,0,0,5,0,0,0,1,0,0,0
Missouri,2016,23.83715820332554,7.0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
Missouri,2017,26.561120872750617,2.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Montana,2014,11.743188216884942,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
Montana,2015,12.42145612460273,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
Montana,2016,13.162205447615863,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
Montana,2017,14.347038714201288,4.0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
