state,year,is_weekend,n_incidents_per_day
Alabama,2014,0,0.07407942501339135
Alabama,2014,1,0.07823287971844325
Alabama,2015,0,0.056869256689310886
Alabama,2015,1,0.06182575153837926
Alabama,2016,0,0.07171351803576172
Alabama,2016,1,0.07133483954748954
Alabama,2017,0,0.07888499618704609
Alabama,2017,1,0.07734148790251937
Alaska,2014,0,0.14830629295916187
Alaska,2014,1,0.17576361902404697
Alaska,2015,0,0.21159508963280274
Alaska,2015,1,0.22344295495630662
Alaska,2016,0,0.22532135185833424
Alaska,2016,1,0.2343362249411968
Alaska,2017,0,0.20682043345527332
Alaska,2017,1,0.1916872310073265
Arizona,2014,0,0.0284271605044512
Arizona,2014,1,0.028558097728592913
Arizona,2015,0,0.025952257322607388
Arizona,2015,1,0.027782224185098934
Arizona,2016,0,0.02633536994353771
Arizona,2016,1,0.028813992997047143
Arizona,2017,0,0.02621999826675671
Arizona,2017,1,0.027557840232268833
Arkansas,2014,0,0.06453478340576506
Arkansas,2014,1,0.058326275421960797
Arkansas,2015,0,0.06278581361571965
Arkansas,2015,1,0.06584981038045595
Arkansas,2016,0,0.07329256386993264
Arkansas,2016,1,0.07655356731819699
Arkansas,2017,0,0.07987685230001068
Arkansas,2017,1,0.08216013456997082
California,2014,0,0.023595839832944897
California,2014,1,0.027727364408076043
California,2015,0,0.021148979170894196
California,2015,1,0.021025445414054864
California,2016,0,0.02278206211367797
California,2016,1,0.025166883886661502
California,2017,0,0.028997874113758492
California,2017,1,0.03256996226011277
Colorado,2014,0,0.0383017129558648
Colorado,2014,1,0.0384354992208374
Colorado,2015,0,0.046953196105493575
Colorado,2015,1,0.0415316976377978
Colorado,2016,0,0.04148201103906921
Colorado,2016,1,0.04755924083377405
Colorado,2017,0,0.04213280287184154
Colorado,2017,1,0.04309367257060284
Connecticut,2014,0,0.058182887343702964
Connecticut,2014,1,0.06016095594298439
Connecticut,2015,0,0.06249746914424096
Connecticut,2015,1,0.06984363353368024
Connecticut,2016,0,0.06960749186819291
Connecticut,2016,1,0.06741967781651473
Connecticut,2017,0,0.06900499523710273
Connecticut,2017,1,0.06661732239465949
Delaware,2014,0,0.19833653076036425
Delaware,2014,1,0.20988419754300672
Delaware,2015,0,0.18005860224522177
Delaware,2015,1,0.18100399294808445
Delaware,2016,0,0.151569161704533
Delaware,2016,1,0.16286440551474204
Delaware,2017,0,0.16371617200248179
Delaware,2017,1,0.1675518463889981
District of Columbia,2014,0,0.41876304575080286
District of Columbia,2014,1,0.3850904382349544
District of Columbia,2015,0,0.3151695248386488
District of Columbia,2015,1,0.3178363438949758
District of Columbia,2016,0,0.2873603280648759
District of Columbia,2016,1,0.2813553895421845
District of Columbia,2017,0,0.5467020605032548
District of Columbia,2017,1,0.45396631706413987
Florida,2014,0,0.04017542997460965
Florida,2014,1,0.04050437159806641
Florida,2015,0,0.03370540009535564
Florida,2015,1,0.034114584794424044
Florida,2016,0,0.05118010901314708
Florida,2016,1,0.054333385871776996
Florida,2017,0,0.05085111836510081
Florida,2017,1,0.05074552386602079
Georgia,2014,0,0.05330670181693435
Georgia,2014,1,0.053868353720607734
Georgia,2015,0,0.0704038952703017
Georgia,2015,1,0.07141787710080692
Georgia,2016,0,0.04322270870211011
Georgia,2016,1,0.04321462447107353
Georgia,2017,0,0.04918340762261802
Georgia,2017,1,0.049968858594521756
Hawaii,2014,0,0.07981632575897686
Hawaii,2014,1,0.07854939995327882
Hawaii,2015,0,0.07735300818816752
Hawaii,2015,1,0.07534383914431901
Hawaii,2016,0,0.07425262283380231
Hawaii,2016,1,0.08621494668656293
Hawaii,2017,0,0.08100616570329634
Hawaii,2017,1,0.07020534360952349
Idaho,2014,0,0.07019306682998372
Idaho,2014,1,0.06811985388563821
Idaho,2015,0,0.07823261716671948
Idaho,2015,1,0.0683322115203108
Idaho,2016,0,0.07105423856979844
Idaho,2016,1,0.07429950427370749
Idaho,2017,0,0.0719534414137255
Idaho,2017,1,0.06549398474135698
Illinois,2014,0,0.05891371581895843
Illinois,2014,1,0.07223949213750443
Illinois,2015,0,0.0648859615399011
Illinois,2015,1,0.0841978095420902
Illinois,2016,0,0.09452989544993565
Illinois,2016,1,0.12420557691434622
Illinois,2017,0,0.09662459145306869
Illinois,2017,1,0.12267314714769206
Indiana,2014,0,0.04899343481233017
Indiana,2014,1,0.050199859137072006
Indiana,2015,0,0.05144949883648472
Indiana,2015,1,0.05815514286015574
Indiana,2016,0,0.05975859606574945
Indiana,2016,1,0.061188120722144475
Indiana,2017,0,0.05893592715495373
Indiana,2017,1,0.05861920844663015
Iowa,2014,0,0.062242056477546014
Iowa,2014,1,0.06313097473629417
Iowa,2015,0,0.06425148537292169
Iowa,2015,1,0.0732947554598585
Iowa,2016,0,0.06402113759413659
Iowa,2016,1,0.07615243880764638
Iowa,2017,0,0.059470410559336294
Iowa,2017,1,0.06655660711779506
Kansas,2014,0,0.05771168665402257
Kansas,2014,1,0.06345787190528887
Kansas,2015,0,0.05935955403001752
Kansas,2015,1,0.060663431054504134
Kansas,2016,0,0.06563209025265626
Kansas,2016,1,0.06828446735680972
Kansas,2017,0,0.0648601183801362
Kansas,2017,1,0.06836364842265344
Kentucky,2014,0,0.06358848255676317
Kentucky,2014,1,0.0645278578672608
Kentucky,2015,0,0.058263384262709945
Kentucky,2015,1,0.060829694790656176
Kentucky,2016,0,0.06254663756372555
Kentucky,2016,1,0.06575591868334321
Kentucky,2017,0,0.06488578155872218
Kentucky,2017,1,0.06527572014982028
Louisiana,2014,0,0.10565463072545701
Louisiana,2014,1,0.11602787318991369
Louisiana,2015,0,0.09676965072257787
Louisiana,2015,1,0.09466653255433051
Louisiana,2016,0,0.11571122708360092
Louisiana,2016,1,0.11448513629404092
Louisiana,2017,0,0.11044288390045645
Louisiana,2017,1,0.10934012444984872
Maine,2014,0,0.09213036262050076
Maine,2014,1,0.1013772288810651
Maine,2015,0,0.10595856897264301
Maine,2015,1,0.10447901860030749
Maine,2016,0,0.09992790168360675
Maine,2016,1,0.1111681139803668
Maine,2017,0,0.09529695973018186
Maine,2017,1,0.1062934134537072
Maryland,2014,0,0.060376084089817234
Maryland,2014,1,0.057603087638583246
Maryland,2015,0,0.05813168749603314
