state,year,is_weekend,is_summer,n_incidents_per_day
Alabama,2014,0,0,0.07101084219297438
Alabama,2014,0,1,0.08261392098267606
Alabama,2014,1,0,0.0742408884506481
Alabama,2014,1,1,0.09004917387111691
Alabama,2015,0,0,0.05737617093523833
Alabama,2015,0,1,0.05540668443876612
Alabama,2015,1,0,0.05770403476915398
Alabama,2015,1,1,0.07470611644220827
Alabama,2016,0,0,0.07213097718441065
Alabama,2016,0,1,0.07044745340461335
Alabama,2016,1,0,0.07745664487529587
Alabama,2016,1,1,0.053459167990295105
Alabama,2017,0,0,0.07704031048476025
Alabama,2017,0,1,0.08430376043751074
Alabama,2017,1,0,0.07549513938495259
Alabama,2017,1,1,0.08288053345521969
Alaska,2014,0,0,0.14835432738603122
Alaska,2014,0,1,0.14816437306159327
Alaska,2014,1,0,0.1794729161787752
Alaska,2014,1,1,0.15845356563531504
Alaska,2015,0,0,0.21324119830149676
Alaska,2015,0,1,0.20678022177687258
Alaska,2015,1,0,0.22137728661291148
Alaska,2015,1,1,0.2280437617211412
Alaska,2016,0,0,0.21902850607453445
Alaska,2016,0,1,0.24405005954821454
Alaska,2016,1,0,0.23826992655891469
Alaska,2016,1,1,0.22253512008804296
Alaska,2017,0,0,0.20077714138860148
Alaska,2017,0,1,0.22531656978054168
Alaska,2017,1,0,0.1919697174530215
Alaska,2017,1,1,0.19085638851998823
Arizona,2014,0,0,0.027920940822984904
Arizona,2014,0,1,0.030031984601014545
Arizona,2014,1,0,0.027014416770290595
Arizona,2014,1,1,0.03241730012434871
Arizona,2015,0,0,0.025623470278824355
Arizona,2015,0,1,0.026900387402353804
Arizona,2015,1,0,0.027485827767761463
Arizona,2015,1,1,0.028586728746443496
Arizona,2016,0,0,0.026290139595845932
Arizona,2016,0,1,0.02646183030341064
Arizona,2016,1,0,0.028138665036178852
Arizona,2016,1,1,0.031088781917866654
Arizona,2017,0,0,0.02531537135132134
Arizona,2017,0,1,0.02866078409519555
Arizona,2017,1,0,0.02950202498350371
Arizona,2017,1,1,0.021632705752314928
Arkansas,2014,0,0,0.06245663981480482
Arkansas,2014,0,1,0.07076921417864576
Arkansas,2014,1,0,0.05883155012429793
Arkansas,2014,1,1,0.05675726450417704
Arkansas,2015,0,0,0.06350818884806715
Arkansas,2015,0,1,0.06093974357749825
Arkansas,2015,1,0,0.0652925824044624
Arkansas,2015,1,1,0.06715808475887561
Arkansas,2016,0,0,0.07460971273356765
Arkansas,2016,0,1,0.06941567287508243
Arkansas,2016,1,0,0.07246575547110878
Arkansas,2016,1,1,0.0877950498976895
Arkansas,2017,0,0,0.08133608334224274
Arkansas,2017,0,1,0.07567228828002
Arkansas,2017,1,0,0.07965178944773094
Arkansas,2017,1,1,0.08884905489594387
California,2014,0,0,0.022604078361168765
California,2014,0,1,0.026586382117069866
California,2014,1,0,0.02839870174540884
California,2014,1,1,0.025812809779386228
California,2015,0,0,0.021430177660689304
California,2015,0,1,0.020322426034223736
California,2015,1,0,0.020885440489636947
California,2015,1,1,0.021445460187308606
California,2016,0,0,0.023227228844634896
